keys,en,pl
BE_SAVE,"Save","Zapisz"
BE_CLEAR,"Clead","Czyść"
BE_SIDEBAR_CATEGORY_INPUTS,"Inputs","Wejścia"
BE_SIDEBAR_CATEGORY_FUNCTIONS,"Functions","Funkcje"
BE_SIDEBAR_CATEGORY_CONSTANTS,"Constants","Stałe"
BE_SIDEBAR_CATEGORY_OUTPUTS,"Outputs","Wyjścia"
BE_SIDEBAR_CATEGORY_CONNECTORS,"Connectors","Połączenia"
BE_SIDEBAR_CATEGORY_CUSTOM,"Custom blocks","Własne bloki"
BE_EDGE_PORT_INFO,"Port type: ""[b]{port_name}[/b]"". [i]Click to change[/i].","Typ portu: ""[b]{port_name}[/b]"". [i]Kliknij by zmienić[/i]."
BE_EDGE_PORT_NONE,"None","Brak"
BE_EDGE_PORT_INPUT,"System input","Wejście do układu"
BE_EDGE_PORT_OUTPUT,"System output","Wyjście z układu"
BE_CUSTOM_BLOCKS_ADD,"New blok","Nowy blok"
BE_NEW_BLOCK_DIALOG_TITLE,"New block","Nowy blok"
BE_NEW_BLOCK_DIALOG_BLOCK_NAME_PLACEHOLDER,"Block name...","Nazwa bloku..."
BE_NEW_BLOCK_DIALOG_OK,"Create","Stwórz"
BE_NEW_BLOCK_DIALOG_CANCEL,"Cancel","Anuluj"
BE_CLEAR_BRAIN_GRID_DIALOG_TITLE,"Please confirm","Potwierdź"
BE_CLEAR_BRAIN_GRID_DIALOG_BUTTON_YES,"Yes","Tak"
BE_CLEAR_BRAIN_GRID_DIALOG_BUTTON_NO,"No","NIE"
BE_CLEAR_BRAIN_GRID_DIALOG_TEXT,"Clear program?","Wyczyścić program?"
BE_PROGRAM_LABEL,"Program: {program_name}","Program: {program_name}"
BE_DEFAULT_PROGRAM_NAME,"Program","Program"
BE_DEFAULT_PROGRAM_DESCRIPTION,"Custom block","Własny blok"
BE_NEW_PROGRAM_TITLE,"New program","Nowy program"
BE_NEW_BLOCK_TITLE_EDIT,"Program edit","Edycja programu"
BE_NEW_PROGRAM_NAME_LABEL,"Program name","Nazwa programu"
BE_NEW_PROGRAM_NAME_PLACEHOLDER,"Program name...","Nazwa programu..."
BE_NEW_PROGRAM_DESCRIPTION_LABEL,"Program description","Opis programu"
BE_NEW_PROGRAM_DESCRIPTION_PLACEHOLDER,"Program description...","Opis programu..."
BE_NEW_PROGRAM_CREATE,"Create","Stwórz"
BE_NEW_PROGRAM_SAVE,"Save","Zapisz"
BE_NEW_PROGRAM_CANCEL,"Cancel","Anuluj"
BE_NEW_PROGRAM_NAME_REQUIRED,"Name cannot be empty!","Nazwa nie może być pusta!"
BE_NEW_PROGRAM_NAME_REGEX,"The name must be between 1 and 10 characters long and may only consist of letters, numbers, and underscores.","Nazwa musi mieć od 1 do 10 znaków, może składać się wyłącznie z liter, cyfr i znaku podkreślenia."
BE_NEW_PROGRAM_DESCRIPTION_REQUIRED,"Description cannot be empty!","Opis nie może być pusty!"
BE_NEW_PROGRAM_DESC_TOO_LONG,"Description is too long (max. 150 chars)","Opis jest za długi (150 znaków max.)."
BE_NEW_PROGRAM_DESC_INVALID_CHARS,"Description contains invalid characters","Opis zawiera nieprawidłowe znaki!"
BE_NEW_PROGRAM_NAME_NOT_UNIQUE,"The name is not unique!","Taka nazwa już istnieje!"
BE_PROGRAM_GRID_DEFAULT_LABEL,"Main program","Główny program"
BE_SAVED_ALERT,"Program saved.","Program został zapisany."
BE_UPDATED_ALERT,"Program updated.","Program został zaktualizowany."
BE_MAIN_PROGRAM_CLOSE_WARNING,"Cannot close main program.","Nie można zamknąć głównego programu."
BE_CUSTOM_BLOCKS_DOUBLE_CLICK_TO_EDIT,"Click twice to edit.","Kliknij 2 razy by edytować."
BE_CUSTOM_BLOCKS_SHOW_EDITOR,"Show editor","Pokaż edytor"
BE_CUSTOM_BLOCKS_EDIT_NAME_DESC,"Change name and description","Zmień nazwę i opis"
BE_CUSTOM_BLOCKS_DELETE,"Delete","Usuń"
BE_CUSTOM_BLOCKS_DELETE_TITLE,"Block delete","Usuwanie bloku"
BE_CUSTOM_BLOCKS_DELETE_MESSAGE,"Confirm block delete?","Czy usunąć blok?"
BE_CUSTOM_BLOCKS_DELETE_ALERT,"Block delete successful!","Usunięto blok!"
BE_USAGE_PROGRAM,"Program: {name}","Program: {name}"
BE_USAGE_BLOCK,"Custom Block: {name}","Blok własny: {name}"
BE_DELETE_BLOCK_USED_ERROR,"Cannot delete block '{name}'. It is used in the following places:","Nie można usunąć bloku '{name}'. Jest on używany w następujących miejscach:"
BE_AND_MORE,"...and {count} more places.","...i w {count} innych miejscach."
BE_BLOCK_MISSING_TITLE,"CORRUPTED","USZKODZONY"
BE_BLOCK_MISSING_INFO,"Error: Definition not found for UUID:\n{uuid}","Błąd: Nie znaleziono definicji dla UUID:\n{uuid}"
